                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.91411,                 0.8373,                 1.3295,                0.93776,                0.88029,                0.95744,                0.76915,                0.69178,                0.61144,                  1.219,              0.0011473,              0.0011473,              0.0011473
                     85,                0.89451,                0.85092,                 1.3333,                0.92547,                0.89433,                0.94267,                0.74934,                0.73904,                0.61097,                 1.2507,              0.0011461,              0.0011461,              0.0011461
                     86,                0.92998,                0.86828,                 1.3602,                0.90006,                0.83142,                0.93565,                0.73028,                0.80102,                0.79101,                 1.3361,              0.0011448,              0.0011448,              0.0011448
                     87,                0.91611,                0.85533,                 1.3616,                0.92543,                0.86184,                0.94704,                0.76135,                0.72387,                0.62467,                 1.2539,              0.0011436,              0.0011436,              0.0011436
                     88,                0.91103,                0.87823,                 1.3606,                0.90408,                0.85934,                0.93891,                0.74171,                0.79563,                0.73697,                 1.3146,              0.0011423,              0.0011423,              0.0011423
                     89,                0.93083,                0.87231,                 1.3569,                0.93288,                0.90038,                0.95911,                0.76102,                0.74455,                0.60393,                 1.2443,              0.0011411,              0.0011411,              0.0011411
                     90,                0.88935,                0.80059,                 1.3245,                 0.9552,                0.89234,                0.96149,                0.77613,                0.70955,                0.52628,                  1.222,              0.0011399,              0.0011399,              0.0011399
                     91,                0.88521,                0.78369,                  1.327,                0.91465,                0.92961,                0.96669,                0.78021,                0.71167,                0.55046,                 1.2296,              0.0011386,              0.0011386,              0.0011386
                     92,                0.88684,                0.81121,                 1.3113,                 0.9279,                 0.9366,                0.96789,                0.79446,                0.67979,                0.52805,                 1.1932,              0.0011374,              0.0011374,              0.0011374
                     93,                0.85861,                0.79863,                 1.2991,                0.93854,                 0.9164,                 0.9677,                0.77128,                0.69838,                0.57749,                 1.2259,              0.0011362,              0.0011362,              0.0011362
                     94,                0.91258,                0.85451,                 1.3383,                  0.904,                0.93244,                 0.9579,                0.74654,                0.76515,                0.66192,                 1.2875,              0.0011349,              0.0011349,              0.0011349
                     95,                0.90149,                0.82991,                 1.3267,                0.85556,                0.90474,                0.95585,                 0.7764,                0.69802,                0.67733,                 1.2094,              0.0011337,              0.0011337,              0.0011337
                     96,                0.86743,                  0.822,                 1.3081,                0.89564,                 0.9449,                0.96783,                0.80139,                0.63809,                0.62076,                 1.1521,              0.0011324,              0.0011324,              0.0011324
                     97,                0.84464,                0.81015,                 1.2982,                0.91484,                0.94532,                0.96522,                0.80029,                0.64458,                0.55575,                 1.1592,              0.0011312,              0.0011312,              0.0011312
                     98,                0.79083,                0.72506,                 1.2508,                0.87748,                0.92271,                0.95702,                0.76806,                0.76082,                0.75104,                 1.2692,                0.00113,                0.00113,                0.00113
                     99,                0.89667,                0.84827,                 1.3239,                0.90751,                0.93532,                0.97047,                 0.7922,                0.66186,                0.58743,                 1.1864,              0.0011287,              0.0011287,              0.0011287
                    100,                0.87956,                0.81476,                 1.3258,                0.94379,                0.92304,                0.96819,                0.78435,                0.71051,                0.55064,                 1.2133,              0.0011275,              0.0011275,              0.0011275
                    101,                0.86657,                0.77286,                 1.3015,                0.93992,                0.93585,                0.96994,                0.80859,                0.63677,                0.51396,                 1.1661,              0.0011263,              0.0011263,              0.0011263
                    102,                0.86546,                0.76341,                 1.2975,                0.92919,                0.94842,                0.97401,                0.82153,                0.64126,                0.49995,                 1.1583,               0.001125,               0.001125,               0.001125
                    103,                 0.8796,                0.77667,                 1.3061,                0.91963,                0.93968,                0.96527,                0.78935,                0.68982,                0.53396,                  1.197,              0.0011238,              0.0011238,              0.0011238
                    104,                0.85591,                0.72167,                 1.2832,                0.94634,                0.93786,                0.96697,                0.79094,                 0.6805,                0.52984,                 1.2034,              0.0011225,              0.0011225,              0.0011225
                    105,                0.90103,                0.74422,                  1.298,                0.95094,                0.92592,                0.96328,                 0.7827,                0.71011,                0.53322,                 1.2104,              0.0011213,              0.0011213,              0.0011213
                    106,                 0.8929,                0.74636,                 1.3149,                0.93195,                0.94265,                0.97446,                0.80709,                0.66395,                 0.5215,                 1.1874,              0.0011201,              0.0011201,              0.0011201
                    107,                0.90009,                0.76958,                  1.314,                 0.9105,                0.90107,                0.94976,                0.71428,                0.89559,                0.70847,                 1.4068,              0.0011188,              0.0011188,              0.0011188
                    108,                0.81436,                0.69169,                  1.269,                0.89678,                0.88038,                0.94488,                0.65117,                 1.0578,                 0.8027,                 1.5886,              0.0011176,              0.0011176,              0.0011176
                    109,                0.83853,                0.73251,                 1.2706,                0.97323,                0.92648,                0.97246,                0.81242,                0.64463,                0.50876,                 1.1767,              0.0011164,              0.0011164,              0.0011164
                    110,                0.85019,                0.78833,                 1.2964,                0.93384,                0.96434,                0.97455,                0.80687,                0.66661,                0.51615,                 1.1849,              0.0011151,              0.0011151,              0.0011151
                    111,                 0.8407,                0.76012,                 1.2924,                 0.9512,                0.94007,                0.97807,                0.80462,                0.65423,                0.50274,                 1.1592,              0.0011139,              0.0011139,              0.0011139
